market,district,state,latitude,longitude,source
Prayagraj APMC,Prayagraj,Uttar Pradesh,25.4358,81.8463,eNAM/verified
Salon APMC,Raebareli,Uttar Pradesh,26.0316,81.2783,eNAM/verified
Lalitpur APMC,Lalitpur,Uttar Pradesh,24.6889,78.4120,eNAM/verified
Bachranwa APMC,Raebareli,Uttar Pradesh,26.0800,81.1700,eNAM/verified
Karvi APMC,Chitrakoot,Uttar Pradesh,25.2031,80.9106,eNAM/verified
Pukharayan APMC,Kanpur Dehat,Uttar Pradesh,26.2420,79.8290,eNAM/verified
Babrala APMC,Sambhal,Uttar Pradesh,28.3400,78.5700,eNAM/verified
Jhijhank APMC,Kannauj,Uttar Pradesh,26.8040,79.7530,eNAM/verified
Rura APMC,Kanpur Dehat,Uttar Pradesh,26.5100,80.0600,eNAM/verified
Purwa APMC,Unnao,Uttar Pradesh,26.4600,80.7800,eNAM/verified
Maigalganj APMC,Lakhimpur Kheri,Uttar Pradesh,27.8300,80.5900,eNAM/verified
Dibiapur APMC,Auraiya,Uttar Pradesh,26.4700,79.5200,eNAM/verified
Jarar APMC,Sitapur,Uttar Pradesh,27.5600,80.6800,eNAM/verified
Lucknow APMC,Lucknow,Uttar Pradesh,26.8467,80.9462,eNAM/verified
Kanpur APMC,Kanpur Nagar,Uttar Pradesh,26.4499,80.3319,eNAM/verified
Varanasi APMC,Varanasi,Uttar Pradesh,25.3176,82.9739,eNAM/verified
Agra APMC,Agra,Uttar Pradesh,27.1767,78.0081,eNAM/verified
Allahabad APMC,Prayagraj,Uttar Pradesh,25.4358,81.8463,eNAM/verified
Fatehpur APMC,Fatehpur,Uttar Pradesh,25.9300,80.8100,eNAM/verified
Banda APMC,Banda,Uttar Pradesh,25.4747,80.3358,eNAM/verified
